temperature,humidity,wind_speed,rainfall,visibility
23.0,94,19.1,2.29,8.0
31.0,75,19.1,0.03,10.0
27.0,37,20.2,0.0,10.0
21.0,31,19.1,0.0,10.0
18.0,100,51.8,0.08,0.4
28.0,84,3.6,1.99,10.0
26.0,58,13.0,0.0,10.0
14.6,51,9.0,0.06,10.0
36.0,33,13.0,0.0,10.0
15.0,77,11.2,0.01,10.0
15.6,55,37.1,0.0,16.0
12.0,71,9.0,0.0,10.0
23.0,65,22.0,0.0,10.0
23.0,89,6.8,0.05,10.0
31.0,66,6.8,0.0,10.0
26.0,84,9.0,0.0,10.0
26.2,29,15.5,0.07,10.0
24.2,30,15.5,0.0,10.0
22.9,26,12.2,0.0,10.0
15.0,75,5.4,0.69,9.0
25.0,61,6.8,0.0,10.0
25.0,30,15.1,0.0,10.0
9.7,57,10.8,0.07,9.0
29.0,75,24.1,0.0,10.0
31.0,66,20.2,0.01,10.0
13.0,67,11.2,0.01,10.0
17.0,25,11.2,0.0,10.0
7.0,66,9.0,0.22,10.0
14.0,88,6.8,0.01,6.0
14.0,72,29.9,0.0,10.0
32.0,67,15.1,0.0,10.0
32.0,71,15.1,0.0,10.0
32.0,62,24.1,0.0,10.0
31.0,75,34.9,0.01,10.0
22.0,41,19.1,0.0,10.0
14.0,88,13.0,0.17,10.0
32.0,80,9.0,0.0,8.0
32.0,71,15.1,0.0,10.0
10.5,93,4.3,0.01,10.0
18.9,50,13.0,0.0,10.0
25.0,36,22.0,0.09,10.0
30.0,21,3.6,0.0,10.0
29.6,79,5.8,1.15,10.0
27.0,100,9.0,0.0,10.0
17.0,63,15.1,0.0,10.0
38.9,26,4.3,0.0,10.0
18.6,84,37.1,0.83,10.0
23.7,57,5.4,0.0,10.0
28.0,48,24.1,0.0,10.0
30.0,79,3.6,0.0,10.0
32.0,56,3.6,0.81,7.0
20.0,78,9.0,0.0,24.0
34.0,56,6.8,0.37,10.0
42.0,5,22.0,0.0,2.5
9.0,57,6.1,0.06,10.0
24.0,50,19.1,0.0,10.0
16.7,76,15.5,0.0,10.0
25.6,82,22.7,0.0,10.0
32.0,59,3.6,0.0,7.0
26.0,65,6.1,1.05,10.0
23.0,41,25.9,0.0,10.0
31.0,59,19.1,0.02,9.0
24.0,69,24.1,0.0,10.0
13.0,94,19.1,0.0,8.0
32.0,59,3.6,0.0,7.0
19.0,37,25.9,0.0,10.0
31.1,76,15.5,0.0,10.0
31.0,66,9.0,0.42,10.0
32.0,67,6.8,0.0,10.0
18.9,55,7.6,0.28,9.0
34.0,20,24.1,0.0,10.0
26.0,84,6.1,0.0,10.0
31.0,84,13.0,0.0,10.0
19.8,60,11.2,0.0,10.0
21.0,43,11.2,0.0,10.0
16.9,44,3.6,0.0,10.0
24.0,41,22.0,0.41,10.0
25.0,100,3.6,0.0,10.0
20.0,40,16.9,0.0,10.0
18.0,56,3.6,0.03,10.0
30.0,79,15.1,0.25,10.0
33.0,49,16.9,0.0,10.0
15.0,48,38.9,0.0,10.0
24.0,27,28.1,0.0,10.0
30.0,70,16.9,0.02,10.0
20.0,60,3.6,0.0,10.0
31.0,75,25.9,0.05,10.0
25.0,61,15.1,0.13,10.0
29.0,70,19.1,0.0,8.0
35.0,47,19.1,0.0,8.0
27.0,94,11.2,0.73,9.0
32.0,63,22.0,0.02,9.0
23.0,38,11.2,0.0,10.0
27.0,66,9.0,0.21,10.0
15.0,82,13.0,0.04,10.0
6.0,65,33.1,0.0,10.0
36.0,21,3.6,0.0,3.5
28.0,74,3.6,0.06,5.0
24.0,24,15.1,0.0,10.0
33.0,14,19.1,0.0,10.0
17.0,77,9.0,0.0,10.0
25.0,54,19.1,0.0,10.0
23.0,38,11.2,0.0,10.0
32.0,67,29.9,0.0,10.0
18.0,77,4.0,0.0,10.0
27.0,39,22.0,0.0,5.0
16.0,82,11.2,0.0,10.0
22.0,78,15.1,0.1,10.0
29.2,75,15.8,0.09,9.0
34.8,21,3.6,0.0,14.0
16.4,74,6.5,0.0,10.0
20.4,96,5.4,0.07,2.0
20.0,46,19.1,0.0,10.0
23.0,69,9.0,0.0,8.0
16.4,33,9.4,0.0,10.0
31.0,75,13.0,0.0,10.0
26.9,83,3.6,0.92,9.0
16.0,63,15.1,0.61,10.0
22.0,38,11.2,0.0,10.0
12.0,94,25.9,1.7,4.5
19.0,78,11.2,0.0,10.0
23.0,50,13.0,0.01,10.0
27.0,89,3.6,0.21,10.0
29.5,77,32.8,0.41,10.0
34.0,44,3.6,0.13,10.0
30.0,31,6.8,0.0,10.0
27.0,89,9.0,0.0,24.0
22.0,67,27.0,0.0,10.0
24.0,61,25.9,0.0,10.0
23.0,44,6.8,0.0,9.7
26.0,94,6.8,0.01,9.7
12.9,38,22.3,0.0,10.0
20.0,73,19.1,0.0,10.0
9.0,50,11.2,0.0,10.0
23.0,78,6.8,0.0,10.0
27.0,58,9.0,0.0,10.0
29.6,76,11.2,0.0,10.0
25.0,19,15.1,0.0,10.0
